Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
24.0,0.0,0.0,0.0,0.0,613.0,0.0,0.0,15,0.0,0.0,03,003,M03.01,0300300013481023,muy alto,Muy Bajo,Muy Bajo,La Paz
6.0,0.0,0.0,1.0,0.0,94.0,0.0,0.0,2,0.0,0.0,03,003,M03.01,0300300013481004,muy alto,Muy Bajo,Muy Bajo,La Paz
3.0,0.0,0.0,1.0,0.0,60.0,0.0,0.0,0,0.0,0.0,03,003,M03.01,0300300013481040,s/p,S/P,S/P,La Paz
10.0,0.0,1.0,1.0,0.0,100.0,0.0,0.0,4,0.0,0.0,03,003,M03.01,0300300013481001,muy alto,Muy Bajo,Muy Bajo,La Paz
1.0,0.0,0.0,1.0,0.0,54.0,0.0,0.0,1,0.0,0.0,03,003,M03.01,0300300013481003,muy alto,Muy Bajo,Muy Bajo,La Paz
4.0,0.0,0.0,1.0,0.0,149.0,0.0,0.0,0,0.0,0.0,03,003,M03.01,0300300013481018,s/p,S/P,S/P,La Paz
19.0,0.0,1.0,1.0,0.0,239.0,0.0,0.0,8,0.0,0.0,03,003,M03.01,0300300013481005,muy alto,Muy Bajo,Muy Bajo,La Paz
0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0,0.0,0.0,03,003,M03.01,0300300013481022,s/p,S/P,S/P,La Paz
106.0,0.0,3.0,0.0,0.0,987.0,313.0,0.0,50,0.0,3.0,03,003,M03.01,0300300013458006,bajo,Alto,Alto,La Paz
94.0,0.0,1.0,1.0,0.0,814.0,313.0,0.0,23,0.0,4.0,03,003,M03.01,0300300013458007,bajo,Alto,Alto,La Paz
56.0,0.0,0.0,0.0,0.0,811.0,0.0,0.0,45,0.0,3.0,03,003,M03.01,0300300013458003,bajo,Alto,Alto,La Paz
36.0,0.0,1.0,0.0,0.0,873.0,0.0,0.0,29,0.0,3.0,03,003,M03.01,0300300013439028,medio,Alto,Intermedio,La Paz
124.0,1.0,5.0,0.0,1.0,13114.0,0.0,0.0,40,109.0,70.0,03,003,M03.01,0300300012267003,bajo,Alto,Alto,La Paz
128.0,2.0,3.0,0.0,1.0,14719.0,0.0,0.0,15,100.0,83.0,03,003,M03.01,0300300012267022,bajo,Alto,Alto,La Paz
119.0,1.0,3.0,0.0,1.0,14053.0,0.0,0.0,69,109.0,90.0,03,003,M03.01,0300300012267008,bajo,Alto,Alto,La Paz
119.0,1.0,3.0,0.0,1.0,14053.0,0.0,0.0,29,109.0,90.0,03,003,M03.01,0300300012267001,bajo,Alto,Alto,La Paz
119.0,1.0,3.0,0.0,1.0,14053.0,0.0,0.0,15,109.0,90.0,03,003,M03.01,0300300012267002,bajo,Alto,Alto,La Paz
143.0,5.0,3.0,0.0,1.0,14351.0,0.0,0.0,34,100.0,87.0,03,003,M03.01,0300300012144040,muy bajo,Muy Alto,Muy Alto,La Paz
136.0,4.0,4.0,0.0,1.0,14761.0,0.0,0.0,55,100.0,83.0,03,003,M03.01,0300300012144039,muy bajo,Muy Alto,Muy Alto,La Paz
