cve_ent,cve_mun,cve_sun,cvegeo,sun,gmu,iisu_sun,iisu_cd,Pob_2010,Empleo,E_basica,E_media,E_superior,Salud_cama,Salud_cons,Abasto,Espacio_ab,Cultura,Est_Tpte,geometry
03,003,M03.01,0300300013833026,La Paz,muy bajo,Muy Alto,Muy Alto,82,1748.0,0.0,2.0,3.0,203.0,50.0,40.0,4339.0,0.0,0.0,"POLYGON ((-110.32017724016241 24.1063201141876, -110.31924745860152 24.106988167792387, -110.31907391436353 24.10671515479104, -110.3200029189934 24.10605486894176, -110.32017724016241 24.1063201141876))"
03,003,M03.01,0300300013833025,La Paz,muy bajo,Muy Alto,Muy Alto,75,1748.0,0.0,2.0,3.0,203.0,50.0,40.0,4339.0,0.0,0.0,"POLYGON ((-110.31997221777227 24.106008154157163, -110.31904390637197 24.106667947258533, -110.31886977533073 24.10639400955195, -110.31978312897606 24.105720436967605, -110.31997221777227 24.106008154157163))"
03,003,M03.01,0300300013833024,La Paz,muy bajo,Muy Alto,Muy Alto,82,1531.0,0.0,2.0,3.0,203.0,51.0,24.0,5892.0,0.0,0.0,"POLYGON ((-110.31973184497929 24.105642403067936, -110.31881963591918 24.10631513149201, -110.31865296747185 24.10605293208743, -110.31956931949817 24.10539510302985, -110.31973184497929 24.105642403067936))"
03,003,M03.01,0300300013833023,La Paz,muy bajo,Muy Alto,Muy Alto,86,1531.0,0.0,2.0,3.0,203.0,51.0,24.0,5892.0,0.0,0.0,"POLYGON ((-110.31951812183573 24.105317200039053, -110.31860292224916 24.105974201723182, -110.31842900904294 24.105700603316578, -110.31933987345694 24.10504597426571, -110.31951812183573 24.105317200039053))"
03,003,M03.01,0300300013833022,La Paz,muy bajo,Muy Alto,Muy Alto,69,1531.0,0.0,2.0,3.0,203.0,51.0,24.0,5892.0,0.0,0.0,"POLYGON ((-110.31930018175295 24.104985578511084, -110.31839306446844 24.10564405552742, -110.31822162400978 24.105374345639007, -110.31912403152862 24.104717543727723, -110.31930018175295 24.104985578511084))"
03,003,M03.01,0300300013161006,La Paz,bajo,Alto,Alto,178,948.0,0.0,0.0,1.0,0.0,2.0,16.0,2410.0,0.0,0.0,"POLYGON ((-110.30934645228466 24.103916852576834, -110.31112559170724 24.103632857610048, -110.31101096589691 24.103968945088944, -110.31021087941771 24.10411663345985, -110.3102213350373 24.10426401457639, -110.31024433964097 24.10426316925259, -110.31026732679499 24.104262324566523, -110.31026689905978 24.104153718720326, -110.31097963388957 24.104042249914844, -110.31091840503083 24.104262307883033, -110.31096627013892 24.104273056110696, -110.31101513909938 24.104284029738633, -110.31124113820631 24.10361441274764, -110.31170411703035 24.103540962550465, -110.31149222765785 24.10466384818469, -110.30971338870778 24.104406831945926, -110.30970438472819 24.104447810100915, -110.30969499224112 24.10449055636832, -110.31147111935182 24.104775708275096, -110.31092318055529 24.10767934767387, -110.31037108852856 24.1076260965336, -110.30999828097815 24.10757678640263, -110.3097367938857 24.10749535578734, -110.30940662761562 24.10735783561975, -110.30854538760613 24.10698521650915, -110.30765320030987 24.106566902914565, -110.30693783187425 24.106207188745934, -110.30691588182954 24.106160554313544, -110.30692041330198 24.106097698073235, -110.30701030001036 24.10600935702956, -110.30709755230257 24.105955175145244, -110.30884909196949 24.106265895302087, -110.30928544274344 24.10634329984338, -110.30929216424795 24.106311801239737, -110.30929886286096 24.10628235120657, -110.30886201546176 24.106204858575214, -110.30934645228466 24.103916852576834))"
03,003,M03.01,0300300013161010,La Paz,bajo,Alto,Alto,76,942.0,1.0,0.0,0.0,0.0,1.0,25.0,22200.0,0.0,0.0,"POLYGON ((-110.3051552563092 24.111698190355334, -110.30509228822221 24.111524927808173, -110.30509279055428 24.111316903299187, -110.30516854114161 24.11111459016925, -110.30536534763532 24.110590782977276, -110.3062900668419 24.10812716749754, -110.30655450911848 24.106962213798866, -110.30659554085761 24.106934731191117, -110.30664842119339 24.106924846055207, -110.30668747317652 24.10692778859808, -110.30675882110992 24.107067734930656, -110.30677241330865 24.10723016294559, -110.306764786109 24.107454179236996, -110.30674550064069 24.107659462319738, -110.3067023429717 24.1081459704867, -110.3067289404784 24.108594192877078, -110.30636799496888 24.108459309546287, -110.30636215080658 24.108484354928663, -110.3063560370693 24.108510555573616, -110.30672340524795 24.108673911808555, -110.30675942929399 24.109111117326766, -110.30680488275243 24.109605931242143, -110.30682330489887 24.109791979847778, -110.30687689628853 24.109880475679688, -110.3069171137088 24.10994014162088, -110.30698484779539 24.10996233088938, -110.30695374593333 24.110099266252984, -110.30692459528261 24.110266644702307, -110.3068906459991 24.11042376987944, -110.30611846013493 24.110920857922448, -110.30545179058491 24.11145161759479, -110.3051552563092 24.111698190355334))"
03,003,M03.01,0300300013161003,La Paz,bajo,Alto,Alto,1,942.0,1.0,0.0,0.0,0.0,1.0,25.0,22200.0,0.0,0.0,"POLYGON ((-110.30830280905221 24.109342006370813, -110.30800652688535 24.10956616432574, -110.30777454719941 24.109747667913503, -110.30747054018667 24.109934972349993, -110.30705222584618 24.110307362495607, -110.30699224028945 24.11028389526619, -110.3070682341281 24.109932154012984, -110.30717621892332 24.109578207565608, -110.30741633422834 24.109114964670603, -110.307640414825 24.108424728266193, -110.30767697175516 24.108402601678982, -110.30773468309842 24.10840286313582, -110.30801706458635 24.10842566206022, -110.30814143325223 24.10902640417556, -110.30817949805393 24.109141198013877, -110.30820672255054 24.109188582624245, -110.30823422444729 24.109236749884232, -110.30826646738694 24.109288987543643, -110.30830280905221 24.109342006370813))"
03,003,M03.01,0300300013161004,La Paz,bajo,Alto,Alto,15,990.0,0.0,2.0,3.0,0.0,2.0,20.0,1632.0,0.0,0.0,"POLYGON ((-110.30776212458036 24.107514910612505, -110.30787733597003 24.107943160903865, -110.3079095278009 24.108085412545407, -110.30798455023405 24.108359256834543, -110.30768310281155 24.108327061662123, -110.30762066365122 24.10834280658676, -110.30756975217145 24.108394820291693, -110.30735230731185 24.109087674190683, -110.30711126825257 24.109557370365373, -110.30704685443165 24.109738632810863, -110.30701572175866 24.10980215140557, -110.3069715241354 24.109822045278065, -110.30692236215891 24.1098067582827, -110.30688980377396 24.109756398341286, -110.30678655316137 24.10864598737125, -110.30677439080996 24.108112943679085, -110.3068078364512 24.107669384344366, -110.30683525638976 24.10746134128553, -110.30683165781221 24.107216699141635, -110.30681614645898 24.10704466458735, -110.30674462253806 24.106893114894838, -110.30658999500159 24.106805885262155, -110.30666810540993 24.106461778349388, -110.30705124033517 24.10658077692912, -110.30749029217749 24.10680714303811, -110.30766846611694 24.1069298165895, -110.30776212458036 24.107514910612505))"
03,003,M03.01,0300300013161007,La Paz,bajo,Alto,Alto,7,695.0,0.0,0.0,0.0,0.0,2.0,12.0,673.0,0.0,0.0,"POLYGON ((-110.31037437801179 24.10806809374538, -110.3104214158377 24.108177409214612, -110.31040251854414 24.108245844535436, -110.31035373922822 24.108262247040397, -110.3099016323506 24.108271725980224, -110.3097254078921 24.108323476663738, -110.30955950413923 24.108175047284902, -110.30953946453886 24.108200978337507, -110.30951978910609 24.108226438147554, -110.30965651860978 24.108343706861323, -110.30928894345773 24.108451649254615, -110.30919032921494 24.108446189913636, -110.30921869687245 24.10803677221708, -110.30897861785463 24.108017442683895, -110.30897888249851 24.108042284203012, -110.30897914130325 24.108066577607847, -110.30917068737607 24.108079064418853, -110.30914024301582 24.108443417088992, -110.30881987948283 24.108425681044213, -110.30854445354913 24.108373857380542, -110.30852503592128 24.107796063413026, -110.30856196644893 24.107604614752994, -110.30864496944565 24.107444072012534, -110.30869166583226 24.10736360303165, -110.30880062049694 24.10739435214853, -110.30908397115837 24.107545921348237, -110.30950269700575 24.107663961887276, -110.30989993617811 24.10784404250271, -110.31037437801179 24.10806809374538))"
